page name,page url,payment method,contact number,page details
Quick Exchanger,https://www.facebook.com/Quickexchangerbd24hourservicebd24/,,"01604606906, 01604606906",
Style Collection,https://www.facebook.com/rimiboutiques,01914506958,,
Sm Premium store,,01999169536,01999169536,
Little Bit,https://www.facebook.com/Littlebitze,01973667704,,
Bangla Bazar,https://www.facebook.com/profile.php?id=61558521847910,01316519185,,
MARK SHOE BD,https://www.facebook.com/profile.php?id=61587642899082,01876488436,,
Farishta,https://www.facebook.com/farishta.bd,01898793785,,
আল কুরআন ডিজিটাল প্লাটফর্ম,,01884183470 ,,
,,,01979138549,capcut fraud
Gift & Surprise House,,"01628853017, 01625386058, 01851780309",,deicast scammer
𝐁𝐊 𝐆𝐮𝐢𝐭𝐚𝐫 𝐒𝐡𝐨𝐩,https://www.facebook.com/profile.php?id=61575996005950,01830999795,,
DataXpert Solutions,https://www.facebook.com/TheDataXpert,01618485908,,
ShopSphere.com,https://www.facebook.com/profile.php?id=100079917267124,"01330160555, 01778667302, 01833192295, 01875468359",01925486533,
Online Shop,https://www.facebook.com/profile.php?id=61585936917472,"01929797047, 01706972046",,
চাঁদপুর রূপালী ইলিশ,,01307169090,,
Angel Jannat,,01776991573,,home decoraiton 
Fă'shion Your $tyle,https://www.facebook.com/fysbyodysseyventures,,,
Lightning Algorithms Army,https://www.facebook.com/profile.php?id=100089860964953,01307204399,,
Tasamoon,https://www.facebook.com/tasamoonofficial,01306852675,,https://capscanbd.com/post/?id=224
Kitchen Point BD,,01600973624,,fruad furniture seller
নিউ ফার্নিচার,https://www.facebook.com/profile.php?id=61579678390462,"01834654799, 01635913457, 01837083732",,
C H M,https://www.facebook.com/Curirmela,01816086809,,https://capscanbd.com/post/?id=215
Rihan's Accessories,https://www.facebook.com/MyWeaknessss,01558966984,,https://capscanbd.com/post/?id=214
CB Zone,https://www.facebook.com/cbzone2020,01729761995,,Delivery charge advance niye response korena msg seen kore rekhe dey
KESHO BD,https://www.facebook.com/keshobd,"01618090980, 01304041686",,
Apple Gift Card Store BD,,01337104878,,
Prime Store,,01839531483,,susbcripiton seller fraud
Al Madina Digital Network,https://www.facebook.com/profile.php?id=61580004497617,01837140336,,https://capscanbd.com/post/?id=196
Shoes Lover,,01305463422,,
Bornil shop,,"01710350954, 01576942978",,
Gift Card Express BD,https://www.facebook.com/giftcardexpressbd,01825014713,,
Eva Store,https://www.facebook.com/profile.php?id=100077698658825,01764317967,,
হাজী ইমরান হোসাইন টেলিকম,https://www.facebook.com/profile.php?id=100094743159771,01934773240,,
Saree Ghor- শাড়ী ঘর,https://www.facebook.com/profile.php?id=61558470494570,01614338626,,
ইলিশ বাড়ি,https://www.facebook.com/profile.php?id=61586113059723,"01626040226",,
Update Fashion,https://www.facebook.com/skycityfly, 01720013657,,
Splayd shose BD,https://www.facebook.com/splaydshoesbd,01895413796,,
Unique Almirah,https://www.facebook.com/profile.php?id=61567925099688,"01871567930, 01749116901, 01709367285",,
Next boost,https://www.facebook.com/NextBoostBangladesh,,01825488124,
The prime case bd,,01319955537,,mobile case fraud
T.S BD,https://www.facebook.com/profile.php?id=61562349713423,01328785242,,https://capscanbd.com/post/?id=139
Nexus C&F,,01871990669,01731560664,
নাইট ড্রেস 1.0,https://www.facebook.com/profile.php?id=61573431006218,01617256699,01863591356,
Al-Falah Usdt Zone,,01842350213,01806482001,
Swift Dollar,,,,
Vintage Hub BD,https://www.facebook.com/profile.php?id=61579322319416,01631555840,,
Gift Garden,,01804636708,,
Collect your favourite Jersey,https://www.facebook.com/profile.php?id=61562331423040,01772484213,,https://capscanbd.com/post/?id=63
Bd Cover Hub,,01624483600,,
The Gift Shop,,01611152322,,
Al-Salah USDT Haven Inc,https://www.facebook.com/profile.php?id=61572705539211,,"01762464499",
Sünnah Sh·eba -Digita’l Sōlution,https://www.facebook.com/profile.php?id=61576380704614,01346873524,,
Global Quran Tutors,,"01340242141, ",01880834619,https://capscanbd.com/post/?id=42
iTunes Express BD,,01999497730,01603000508,
Stock Exchange,https://www.facebook.com/profile.php?id=61571004176125,01904957981,,
Phone Cover Shop,https://www.facebook.com/phonecovershop1/,01763875434,,
BdFlix Shop ,https://www.facebook.com/people/BdFlix-Shop/61572741565378/,01352026740,,
Click Mart,https://www.facebook.com/profile.php?id=61572088497232&_rdr,01874088405,,
Dream - শখের চুড়ি,https://www.facebook.com/profile.php?id=61589423609068,01858975982,,
AdLeap BD,https://www.facebook.com/adleapbd601,01516569315,,
Riva elegance,,01354998090,,
Ladies Clothes Zone,https://www.facebook.com/profile.php?id=100094597093616,"01858961602, 01894262832",,
Men's Outfit Wire,https://www.facebook.com/profile.php?id=61588473105147,01880718491,01830517832,
Techsuite Store,https://www.facebook.com/profile.php?id=100091581399785,,,
Mini Wheels BD,https://www.facebook.com/MiniWheelsBD73,,,
কলম প্যাকেজিং হাউস,https://www.facebook.com/profile.php?id=61578557186561,,,
Jolforing Agency,,"​01806379205, ​01884778615, 01882203801",,
Exchange Shop Bangladesh,https://www.facebook.com/profile.php?id=61587559663705,,,https://www.facebook.com/share/p/1EDaa5PpfX/
New Fashion,https://www.facebook.com/profile.php?id=61555548219615,01838229880,,https://www.facebook.com/share/p/1CYdAvB8sj/
Subpro Mart,https://www.facebook.com/SubproMart,01861816778,01603943260,https://www.facebook.com/share/p/1Gun5NdDwy/
Flix bd,https://www.facebook.com/profile.php?id=61556824230779,01352026740,,
First Choice,https://www.facebook.com/profile.php?id=100087506131862,01600542214,,https://www.facebook.com/share/p/1C3676Tjhf/
Apple Planet BD,https://www.facebook.com/profile.php?id=61562051700318,,,https://www.facebook.com/share/p/1K4vLUCp9G/
Shoe House,https://www.facebook.com/profile.php?id=61589701318984,01763141215,,https://www.facebook.com/share/p/1JScL1oMKZ/
BD furniture house,https://www.facebook.com/profile.php?id=61580941297280,01633956748,,
Ads Funnel,,01336900463,,
"আর,এফ,এল ওয়ারড্রপ বাজার.কম",https://www.facebook.com/profile.php?id=61557076186942,"01986413844, 01327761798, 01327761798, 01986413844",01885102723,
fashion your styls,,01310534689,,
Vertex Hub,https://www.facebook.com/profile.php?id=61570191366947,01883451093,,
BD SellBazar,https://www.facebook.com/sellbazarb,,,
ZIMAL by Junaida,https://www.facebook.com/zimalofficial00,01345884288,,
